simNo:int,simPar_EleakVal:decimal,simParPer_gBarP:int,simParPer_gBarK2:int,simParPer_gBarLeak:int,simParPer_gBarSynS:int,simParPer_gBarCaS:int,simParPer_gBarSynG:int,simParPer_gBarh:int,meanPeriod_L:decimal,meanPeriod_R:decimal,spkFreq_L:decimal,spkFreq_R:decimal,meanDutyCycle_L:decimal,meanDutyCycle_R:decimal,meanPhase_L:decimal,meanPhase_R:decimal
7072186,-0.07,125,100,100,50,25,125,75,27.8793,29.1898,12.66151433,12.86232716,0.5259063,0.4998287,0.4452103,0.533862
7084060,-0.05,75,125,25,175,25,125,75,29.6313,27.9981,18.98376853,18.87512578,0.4575533,0.476443,0.5783285,0.4535474
7115574,-0.055,50,25,100,75,75,125,75,30.4758,33.4455,11.86173175,11.79596418,0.4948123,0.5902558,0.3632492,0.6013542
7117941,-0.07,100,100,75,100,75,125,75,24.08215,21.58475,13.8406064,13.29603753,0.6194879,0.4741079,0.4761394,0.5732379
7121236,-0.07,175,150,125,125,75,125,75,30.17665,27.96755,23.19159365,22.07174317,0.4279302,0.6210662,0.556806,0.4839553
7196077,-0.065,175,125,175,50,175,125,75,27.0641,28.24815,24.30898774,24.01995723,0.5119919,0.5221191,0.4429157,0.5377068
7200317,-0.065,175,175,100,100,175,125,75,28.0657,27.03645,31.14535366,30.63534257,0.4709022,0.4867022,0.5503182,0.4698636
7225786,-0.07,125,100,100,150,0,125,100,26.02015,16.8167,10.37417628,11.58801209,0.9645794,0.5199831,0.5029911,0.6749192
7235383,-0.06,100,100,50,50,25,125,100,29.26205,7.61595,25.81923416,26.46511315,0.4830318,0.0167937,1.056657,0.7249868
7238586,-0.07,125,100,100,75,25,125,100,27.2115,29.95095,13.02502154,12.57382477,0.4985723,0.6055234,0.3758862,0.5862723
7245941,-0.07,100,100,75,150,25,125,100,11.31861,11.2944,13.40204487,12.48546075,0.3164328,0.6665439,0.4504983,0.5504989
7248134,-0.055,50,75,50,175,25,125,100,27.6887,29.07775,11.71629004,11.6394304,0.5060476,0.5522023,0.4340174,0.5442094
7248501,-0.07,100,100,75,175,25,125,100,11.67111,11.69153,13.64787486,12.47485051,0.3258497,0.6587831,0.4484047,0.5508101
7261301,-0.07,100,100,75,100,50,125,100,12.26882,12.26705,15.30399452,15.19188823,0.3005478,0.6865558,0.5694757,0.4306025
7262312,-0.065,150,125,150,100,50,125,100,13.35947,13.3582,14.84962582,15.07090312,0.2766896,0.707415,0.4411576,0.55897
